,vol_window,test_len,lag_days,mean_low,mean_high,mean_diff,pval
0,10,5,0,9.160740465041422e-05,-0.00010085645906559206,0.00019246386371600657,0.757
1,10,5,5,0.00015492886910682875,-0.0005107128065630187,0.0006656416756698478,0.527
2,10,5,10,0.00040824602005462004,-0.00048566915645892333,0.0008939151765135433,0.486
3,10,21,0,9.160740465041422e-05,-9.549117327545462e-05,0.00018709857792586918,0.786
4,10,21,5,0.00015492886910682875,-0.0005110246206098726,0.0006659534897167016,0.501
5,10,21,10,0.00040824602005462004,-0.0004673334090722788,0.0008755794291268988,0.48
6,10,63,0,9.160740465041422e-05,-9.549117327545462e-05,0.00018709857792586918,0.79
7,10,63,5,0.00015492886910682875,-0.0005110246206098726,0.0006659534897167016,0.514
8,10,63,10,0.00040824602005462004,-0.0004673334090722788,0.0008755794291268988,0.505
9,21,5,0,7.867086615461783e-05,-0.00047398494472929257,0.0005526558108839104,0.535
10,21,5,5,0.00045529939363902,-0.0002967000295614888,0.0007519994232005089,0.496
11,21,5,10,6.914199820162137e-05,-0.0006218076348368835,0.0006909496330385043,0.538
12,21,21,0,7.867086615461783e-05,-0.0004737850393110103,0.0005524559054656279,0.538
13,21,21,5,0.00045529939363902,-0.0002940121598752299,0.00074931155351425,0.477
14,21,21,10,6.914199820162137e-05,-0.0006219161307493854,0.0006910581289510062,0.536
15,21,63,0,7.867086615461783e-05,-0.0004737850393110103,0.0005524559054656279,0.538
16,21,63,5,0.00045529939363902,-0.0002940121598752299,0.00074931155351425,0.511
17,21,63,10,6.914199820162137e-05,-0.0006219161307493854,0.0006910581289510062,0.514
18,63,5,0,0.0004411634292122765,-0.000492496071925548,0.0009336595011378247,0.473
19,63,5,5,0.0005512032444734202,-0.000283489804904523,0.0008346930493779432,0.478
20,63,5,10,0.0007242831804118424,-0.0005043811986118114,0.001228664379023654,0.497
21,63,21,0,0.0004411634292122765,-0.0004925552552214212,0.0009337186844336979,0.476
22,63,21,5,0.0005512032444734202,-0.000280581653695513,0.000831784898168933,0.488
23,63,21,10,0.0007242831804118424,-0.0004979078150663265,0.001222190995478169,0.529
24,63,63,0,0.0004411634292122765,-0.0004925552552214212,0.0009337186844336979,0.526
25,63,63,5,0.0005512032444734202,-0.000280581653695513,0.000831784898168933,0.529
26,63,63,10,0.0007242831804118424,-0.0004979078150663265,0.001222190995478169,0.469
